Item Name,Serving Size,Calories,Mileage_taken_off_per_item (Miles),Mileage_taken_off_per_item MONEY RACK (Miles)
"Bacon, Egg & Cheese McGriddles", 6.1 oz,460,1.0,1.0
  Sausage McGriddles®, 5 oz,420,0.8,0.8
"Sausage, Egg & Cheese McGriddles®", 7.1 oz,550,1.2,1.2
"Bacon, Egg & Cheese Bagel with Egg Whites", 6.8 oz,530,1.1,1.1
Big Breakfast® (Regular Size Biscuit), 9.5 oz,740,1.6,1.6
Big Breakfast with Hotcakes (Regular Size Biscuit), 14.8 oz,1090,2.5,2.5
Cinnamon Melts, 4 oz,460,0.7,0.7
Hotcakes, 5.3 oz,350,0.9,0.9
Egg White Delight, 4.8 oz,250,0.8,0.8
HASH BROWNS, 2 oz,150,0.3,0.3
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)", 5.8 oz,520,1.0,1.0
Big Breakfast with Hotcakes (Large Size Biscuit), 15.3 oz,1150,2.6,2.6
Big Breakfast® (Large Size Biscuit), 10 oz,800,1.7,1.7
Sausage Biscuit (Large Size Biscuit), 4.6 oz,480,0.8,0.8
Sausage Biscuit with Egg (Large Size Biscuit), 6.2 oz,570,1.0,1.0
Southern Style Chicken Biscuit (Large Size Biscuit), 5.5 oz,470,0.9,0.9
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)", 5.9 oz,470,1.0,1.0
Sausage McMuffin with Egg Whites, 5.7 oz,400,1.0,1.0
"Bacon, Egg & Cheese McGriddles with Egg Whites", 6.3 oz,400,1.0,1.0
"  Bacon, Egg & Cheese Biscuit with Egg Whites (RegularBiscuit)", 5.4 oz,410,0.9,0.9
Big Breakfast with Egg Whites (Large Size Biscuit), 10.1 oz,690,1.7,1.7
Big Breakfast with Egg Whites (Regular Size Biscuit), 9.6 oz,640,1.6,1.6
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit), 15.4 oz,1050,2.6,2.6
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit), 14.9 oz,990,2.5,2.5
Fruit & Maple Oatmeal   †,  8.9 oz,290,1.5,1.5
Fruit & Maple Oatmeal without Brown Sugar †,  8.8 oz,260,1.5,1.5
Sausage Biscuit with Egg Whites (Large Size Biscuit), 6.4 oz,520,1.1,1.1
Sausage Biscuit with Egg Whites (Regular Size Biscuit), 5.9 oz,460,1.0,1.0
"Sausage, Egg & Cheese McGriddles with Egg Whites", 7.2 oz,500,1.2,1.2
"Bacon, Egg & Cheese Bagel †",  6.7 oz,590,1.1,1.1
Steak & Egg McMuffin, 6.5 oz,430,1.1,1.1
Sausage McMuffin®, 3.9 oz,370,0.6,0.6
Salads Side Salad, 2.7 oz,15,0.4,0.4
Premium Asian Salad (without chicken), 6.2 oz,140,1.0,1.0
Premium Asian Salad with Buttermilk Crispy Chicken, 10.5 oz,450,1.8,1.8
  Premium Asian Salad with Grilled Chicken, 10.4 oz,270,1.7,1.7
Premium Bacon Ranch Salad (without chicken), 5.9 oz,190,1.0,1.0
Premium Southwest Salad (without chicken), 6.1 oz,160,1.0,1.0
