Item Name,Serving Size,Calories,Calories From Fat,Total Fat (g),% Daily Value*,Saturated Fat (g),% Daily Value**,Trans Fat (g),Cholesterol (mg),% Daily Value*,Sodium (mg),% Daily Value*,Carbohydrates (g),% Daily Value*,Dietary Fiber (g),% Daily Value*,Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Filet-O-Fish, 5 oz,390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
Premium McWrap Chicken & Bacon (Buttermilk Crispy), 11.1 oz,690,310,34,53,10,49,0.5,100,33,1450,60,58,19,4,17,6,36,100,35,20,30
Premium McWrap Chicken & Bacon (Grilled), 11 oz,500,180,19,30,8,38,0.5,115,38,1570,66,41,14,3,13,5,41,100,30,25,20
Premium McWrap Chicken & Ranch (Buttermilk Crispy), 10.9 oz,660,300,34,52,9,44,0.5,85,28,1250,52,59,20,4,18,6,31,100,25,20,30
Premium McWrap Chicken & Ranch (Grilled), 10.8 oz,470,170,19,29,7,33,0.5,100,33,1370,57,41,14,3,13,5,35,100,25,25,20
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy), 10.6 oz,590,220,25,38,5,26,0,65,22,1160,48,64,21,4,17,12,27,100,25,10,30
Premium McWrap Chicken Sweet Chili (Grilled), 10.4 oz,400,90,10,15,3,15,0,80,26,1250,52,46,15,3,13,11,31,100,25,15,20
Chicken McNuggets® (10 piece), 5.7 oz,470,270,30,45,5,25,0,65,22,900,37,30,10,2,6,0,22,0,4,2,6
  Ranch Snack Wrap® (Buttermilk Crispy), 4.6 oz,380,190,21,32,6,28,0,45,16,760,32,33,11,2,6,2,16,2,4,10,15
Chicken McNuggets® (20 piece), 11.4 oz,940,530,59,91,10,50,0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10
Chicken McNuggets® (6 piece), 3.4 oz,280,160,18,27,3,15,0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
Chicken McNuggets® (40 piece) †,  22.8 oz,1880,1060,118,182,20,101,1,265,89,3600,150,118,39,6,24,1,87,0,15,8,25
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken, 9.5 oz,490,260,29,44,8,41,0,100,33,1000,42,26,9,4,15,4,34,180,60,15,20
Ranch Snack Wrap® (Grilled), 4.5 oz,290,120,13,20,4.5,22,0,55,18,820,34,25,8,1,4,2,19,2,2,15,10
Premium Bacon Ranch Salad with Grilled Chicken, 9.4 oz,310,120,14,21,6,30,0,115,39,1120,47,9,3,3,10,3,38,180,60,20,10
Premium Southwest Salad with Buttermilk Crispy Chicken, 10.4 oz,510,230,26,40,6,31,0,75,25,790,33,43,14,7,29,9,28,180,45,20,20
Premium Southwest Salad with Grilled Chicken, 10.3 oz,330,100,11,17,4,20,0,90,31,920,38,26,9,6,25,9,33,180,40,25,15
Chicken McNuggets® (4 piece), 2.3 oz,190,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
Premium Crispy Chicken Deluxe Sandwich, 8 oz,530,200,22,34,4,20,0,45,16,1000,42,59,20,3,13,13,25,6,10,20,15
Chicken Selects (3 pc), 4.4 oz,370,200,22,33,3,16,0,70,23,680,28,20,7,1,5,0,23,0,4,2,4
Artisan Grilled Chicken Sandwich, 7.3 oz,360,50,6,9,1.5,8,0,75,25,960,40,43,14,3,11,10,33,4,15,25,15
Buttermilk Crispy Chicken Sandwich, 8.1 oz,580,220,24,37,4.5,22,0,65,22,900,37,62,21,4,16,11,29,6,20,20,20
Premium Asian Salad with Crispy Chicken, 10.3 oz,410,200,22,34,3,14,0,45,14,740,31,32,11,5,21,12,23,170,60,15,15
Bacon Clubhouse Crispy Chicken Sandwich, 10 oz,750,340,38,59,10,51,0.5,90,31,1720,72,65,22,4,15,16,36,8,25,30,15
Premium McWrap Chicken & Bacon (Crispy), 11 oz,640,290,32,49,9,46,0.5,80,27,1550,65,56,19,4,14,7,33,100,30,20,25
  Premium McWrap Chicken & Ranch (Crispy), 10.8 oz,610,280,31,48,8,41,0.5,65,22,1350,56,56,19,4,15,7,27,100,20,20,20
Premium McWrap Chicken Sweet Chili (Crispy), 10.5 oz,540,200,23,35,4.5,23,0,50,16,1260,52,61,20,4,14,13,24,100,20,10,20
Ranch Snack Wrap® (Crispy), 4.5 oz,360,180,20,30,5,27,0,40,13,810,34,32,11,1,5,3,15,2,0,10,10
Premium Bacon Ranch Salad with Crispy Chicken, 9.3 oz,450,240,26,41,8,39,0,85,28,1100,46,23,8,3,12,6,30,180,50,15,10
Premium Southwest Salad with Crispy Chicken, 10.4 oz,470,210,24,37,6,29,0,60,20,890,37,41,14,7,27,11,25,180,35,20,15
Breakfast Fruit 'n Yogurt Parfait, 5.2 oz,150,20,2,3,1,5,0,5,2,80,3,30,10,1,3,23,4,2,15,10,4
"Steak, Egg & Cheese Bagel †",  8.5 oz,670,310,35,53,13,63,1.5,295,99,1510,63,56,19,3,12,7,33,20,4,25,25
Steak & Egg Biscuit (Regular Biscuit), 7.1 oz,540,290,32,49,16,78,1,280,93,1470,61,38,13,2,8,3,25,10,2,20,25
Sausage McMuffin® with Egg, 5.7 oz,450,250,28,43,10,52,0,285,95,860,36,30,10,4,17,2,21,15,0,30,15
Hotcakes and Sausage, 6.8 oz,520,210,24,37,7,36,0,50,17,930,39,61,20,3,10,14,15,0,0,15,15
Southern Style Chicken Biscuit (Regular Size Biscuit), 5 oz,410,180,20,31,8,41,0,30,10,1180,49,41,14,2,6,3,17,0,2,6,15
Sausage Burrito, 3.9 oz,300,150,16,25,7,33,0,115,38,790,33,26,9,1,5,2,12,10,2,15,15
Fruit & Maple Oatmeal  †,  8.9 oz,290,35,4,6,1.5,8,0,5,2,160,7,58,19,5,19,32,5,2,130,10,10
Egg McMuffin®, 4.8 oz,300,120,13,20,5,25,0,260,87,750,31,31,10,4,17,3,17,10,0,25,15
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)", 5.3 oz,460,230,26,40,13,65,0,250,83,1300,54,38,13,2,7,3,19,10,8,15,15
Sausage Biscuit (Regular Size Biscuit), 4.1 oz,430,240,27,42,12,62,0,30,10,1080,45,34,11,2,6,2,11,0,0,6,15
Sausage Biscuit with Egg (Regular Size Biscuit), 5.7 oz,510,290,33,50,14,71,0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20
"Bacon, Egg & Cheese McGriddles", 6.1 oz,460,190,21,32,9,44,0,250,84,1250,52,48,16,2,9,15,19,10,10,20,15
  Sausage McGriddles®, 5 oz,420,200,22,34,8,40,0,35,11,1030,43,44,15,2,8,15,11,0,0,8,10
"Sausage, Egg & Cheese McGriddles®", 7.1 oz,550,280,31,48,12,61,0,265,89,1320,55,48,16,2,9,15,20,10,0,20,15
"Bacon, Egg & Cheese Bagel with Egg Whites", 6.8 oz,530,210,23,35,8,40,0.5,50,17,1340,56,55,18,3,12,7,27,10,10,20,15
Big Breakfast® (Regular Size Biscuit), 9.5 oz,740,430,48,73,17,87,0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25
Big Breakfast with Hotcakes (Regular Size Biscuit), 14.8 oz,1090,510,56,87,19,96,0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40
Cinnamon Melts, 4 oz,460,170,19,30,9,43,0,15,5,370,15,66,22,3,11,32,6,4,0,6,15
Hotcakes, 5.3 oz,350,80,9,13,2,9,0,20,7,590,24,60,20,3,10,14,8,0,0,15,15
Egg White Delight, 4.8 oz,250,70,8,12,3,15,0,25,8,770,32,30,10,4,17,3,18,6,0,25,8
HASH BROWNS, 2 oz,150,80,9,14,1.5,8,0,0,0,310,13,15,5,2,8,0,1,0,2,0,2
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)", 5.8 oz,520,270,30,47,14,68,0,250,83,1410,59,43,14,3,12,4,19,15,8,20,20
Big Breakfast with Hotcakes (Large Size Biscuit), 15.3 oz,1150,540,60,93,20,100,0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40
Big Breakfast® (Large Size Biscuit), 10 oz,800,470,52,80,18,90,0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30
Sausage Biscuit (Large Size Biscuit), 4.6 oz,480,280,31,48,13,65,0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
Sausage Biscuit with Egg (Large Size Biscuit), 6.2 oz,570,330,37,57,15,74,0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20
Southern Style Chicken Biscuit (Large Size Biscuit), 5.5 oz,470,220,24,37,9,45,0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)", 5.9 oz,470,220,25,38,12,59,0,35,11,1420,59,42,14,3,12,4,20,6,8,15,15
Sausage McMuffin with Egg Whites, 5.7 oz,400,210,23,35,8,42,0,50,16,880,37,30,10,4,17,2,21,6,0,25,10
"Bacon, Egg & Cheese McGriddles with Egg Whites", 6.3 oz,400,140,15,24,7,34,0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10
"  Bacon, Egg & Cheese Biscuit with Egg Whites (RegularBiscuit)", 5.4 oz,410,180,20,32,11,56,0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10
Big Breakfast with Egg Whites (Large Size Biscuit), 10.1 oz,690,370,41,63,14,72,0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15
Big Breakfast with Egg Whites (Regular Size Biscuit), 9.6 oz,640,330,37,57,14,69,0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit), 15.4 oz,1050,450,50,77,16,81,0,55,19,2290,95,115,38,7,28,18,35,4,2,25,30
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit), 14.9 oz,990,410,46,70,16,78,0,55,19,2170,91,110,37,6,23,17,35,0,2,25,30
Fruit & Maple Oatmeal   †,  8.9 oz,290,35,4,6,1.5,8,0,5,2,160,7,58,19,5,19,32,5,2,130,10,10
Fruit & Maple Oatmeal without Brown Sugar †,  8.8 oz,260,40,4,6,1.5,8,0,5,2,115,5,49,16,5,22,18,5,2,130,6,10
Sausage Biscuit with Egg Whites (Large Size Biscuit), 6.4 oz,520,280,32,49,13,65,0,35,11,1290,54,40,13,3,11,3,18,4,0,8,15
Sausage Biscuit with Egg Whites (Regular Size Biscuit), 5.9 oz,460,250,27,42,12,62,0,35,11,1180,49,34,11,2,6,3,18,0,0,8,15
"Sausage, Egg & Cheese McGriddles with Egg Whites", 7.2 oz,500,230,26,40,10,52,0,50,17,1320,55,46,15,2,9,15,21,2,0,20,10
"Bacon, Egg & Cheese Bagel †",  6.7 oz,590,260,29,44,10,51,0.5,265,89,1340,56,56,19,3,11,7,27,20,10,20,20
Steak & Egg McMuffin, 6.5 oz,430,210,23,36,9,46,1,300,100,960,40,31,10,4,18,3,26,15,2,30,20
Sausage McMuffin®, 3.9 oz,370,200,23,35,8,42,0,45,15,780,33,29,10,4,17,2,14,8,0,25,10
Salads Side Salad, 2.7 oz,15,0,0,0,0,0,0,0,0,10,0,3,1,2,6,1,1,110,20,2,4
Premium Asian Salad (without chicken), 6.2 oz,140,70,7,11,0.5,3,0,0,0,20,1,13,4,5,19,7,7,180,45,10,15
Premium Asian Salad with Buttermilk Crispy Chicken, 10.5 oz,450,220,24,37,3.5,16,0,60,20,640,27,35,12,6,24,10,27,180,70,15,25
  Premium Asian Salad with Grilled Chicken, 10.4 oz,270,80,9,14,1,6,0,75,25,760,32,18,6,5,19,10,32,180,70,20,15
Premium Bacon Ranch Salad (without chicken), 5.9 oz,190,110,12,19,6,28,0,40,13,530,22,8,3,3,10,3,14,180,50,15,8
Premium Southwest Salad (without chicken), 6.1 oz,160,60,7,11,3,16,0,15,5,190,8,18,6,5,21,4,8,180,35,20,10
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken, 9.5 oz,490,260,29,44,8,41,0,100,33,1000,42,26,9,4,15,4,34,180,60,15,20
Premium Bacon Ranch Salad with Grilled Chicken, 9.4 oz,310,120,14,21,6,30,0,115,39,1120,47,9,3,3,10,3,38,180,60,20,10
Premium Southwest Salad with Buttermilk Crispy Chicken, 10.4 oz,510,230,26,40,6,31,0,75,25,790,33,43,14,7,29,9,28,180,45,20,20
Premium Southwest Salad with Grilled Chicken, 10.3 oz,330,100,11,17,4,20,0,90,31,920,38,26,9,6,25,9,33,180,40,25,15
Snacks & Sides Fruit 'n Yogurt Parfait, 5.2 oz,150,20,2,3,1,5,0,5,2,80,3,30,10,1,3,23,4,2,15,10,4
Small French Fries, 2.6 oz,230,100,11,17,1.5,8,0,0,0,130,5,30,10,2,10,0,2,0,30,0,4
Apple Slices †,  1.2 oz,15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0
Side Salad, 2.7 oz,15,0,0,0,0,0,0,0,0,10,0,3,1,2,6,1,1,110,20,2,4
Large French Fries, 5.9 oz,510,220,24,37,3.5,17,0,0,0,290,12,67,22,5,22,0,6,0,70,2,8
Medium French Fries, 3.9 oz,340,140,16,24,2.5,11,0,0,0,190,8,44,15,4,14,0,4,0,45,2,4
Kids Fries, 1.3 oz,110,50,5,8,1,4,0,0,0,65,3,15,5,1,5,0,1,0,15,0,2
Ranch Snack Wrap® (Buttermilk Crispy), 4.6 oz,380,190,21,32,6,28,0,45,16,760,32,33,11,2,6,2,16,2,4,10,15
Ranch Snack Wrap® (Grilled), 4.5 oz,290,120,13,20,4.5,22,0,55,18,820,34,25,8,1,4,2,19,2,2,15,10
Mac Snack Wrap †,  4.4 oz,330,170,19,29,7,34,1,45,15,670,28,26,9,1,5,3,14,2,0,8,15
Go-GURT Strawberry Flavored Low Fat Yogurt Tube, 2.3 oz,50,5,0.5,1,0,2,0,5,1,35,1,9,3,0,0,6,2,4,0,10,0
Cuties, 3 oz,40,0,0,0,0,0,0,0,0,0,0,10,3,1,6,8,1,0,70,2,0
